date,prices,market_caps,total_volumes
2018-07-31,131.91250037522758,2145534384.1585264,28937785.390338182
2018-08-01,122.28511321827656,1989175940.8909535,31560292.922537684
2018-08-02,128.37002488297637,2088157407.7867827,33934649.02212423
2018-08-03,122.54418450005512,1993390177.171455,24299636.97183492
2018-08-04,120.14342121783795,1954337667.54801,22905616.441390134
2018-08-05,113.85308724858942,1852014656.4921708,19541704.78917286
2018-08-06,117.28026286068943,1907763513.3512137,20617518.442815706
2018-08-07,113.5853823351794,1847659979.467315,21289387.487213388
2018-08-08,107.69678801649549,1751871949.0511768,22990698.69163859
2018-08-09,94.26508302657149,1533382357.735097,29775385.099897884
2018-08-10,100.19676563457463,1629871292.6701279,22508540.41931043
2018-08-11,91.39091033614307,1486629036.6210144,20805651.701138966
2018-08-12,92.97773070319663,1512441376.4356282,29361499.584612455
2018-08-13,93.31478499671819,1517924139.4130836,18915965.36457304
2018-08-14,88.02285222507217,1431841826.7493918,22849041.494943317
2018-08-15,84.13740597734513,1368638416.3570912,30916862.475727394
2018-08-16,89.21117297004572,1459757788.457291,22940264.249532413
2018-08-17,90.93707558329167,1483098221.800917,20508025.48893885
2018-08-18,98.93145268593138,1614600014.2955413,26074345.77781559
2018-08-19,97.99597619724763,1600252098.57689,28668568.631741043
2018-08-20,98.3427959225061,1606739286.6346118,16580656.476867413
2018-08-21,93.95245642158234,1534738405.1854565,21319178.346786108
2018-08-22,94.72109030920556,1546893795.7228096,21152307.069499448
2018-08-23,89.82394882702684,1467701658.6815052,21066026.416325383
2018-08-24,89.92848460498865,1469669549.834863,19019652.138395373
2018-08-25,93.63971533129879,1530864979.6958039,29648514.696451925
2018-08-26,92.44004863457579,1511293975.9510112,17292068.110477857
2018-08-27,95.08303037985532,1554853104.9323516,46023365.953692205
2018-08-28,105.0781555731267,1717610081.6036055,28862703.51156402
2018-08-29,107.72777785368088,1762594371.255949,22621938.219153948
2018-08-30,103.50669846112014,1693197678.2101598,19279860.094157524
2018-08-31,102.6740011048693,1680180297.9331982,35177026.082562305
2018-09-01,116.35717998144021,1904595405.0576122,61024244.01652916
2018-09-02,121.81692046001412,1999130440.6132727,55048442.07756595
2018-09-03,122.42787144834655,2008933338.906553,36375514.61910552
2018-09-04,135.56488225570493,2218550142.9270716,57366184.54618986
2018-09-05,137.9251966011634,2258970280.7365265,55160019.08325436
2018-09-06,115.42020656872161,1891221649.220882,54754173.41083337
2018-09-07,117.52859033035223,1926554621.247917,49823968.61425977
2018-09-08,111.47019127714579,1826933917.1892319,31121667.82694552
2018-09-09,103.7312377499062,1700262209.712627,26350412.72915719
2018-09-10,105.49914233951908,1745479145.2974243,32851063.06891944
2018-09-11,105.39792009696892,1729402936.8412068,33415517.976009805
2018-09-12,105.42099902215926,1729369001.1462257,31890533.48273145
2018-09-13,104.53260639514441,1714028402.379018,37698662.01722152
2018-09-14,112.11144816296833,1839991305.545268,43440289.19346678
2018-09-15,116.81191515668169,1916815396.7823603,44360444.88325986
2018-09-16,119.37034044009035,1959762663.8483334,38742536.45410815
2018-09-17,117.15991248556729,1922863877.1296992,33647748.53005159
