date,bitcoin_total_volumes,ethereum_total_volumes,tether_total_volumes,ripple_total_volumes,solana_total_volumes,terra-luna_total_volumes,cardano_total_volumes,avalanche-2_total_volumes,stellar_total_volumes,monero_total_volumes
2020-12-08,22034483383.94943,10010900862.848228,38931773030.44754,5608978769.602056,,1870303989.9037478,606007826.4647386,,297977837.83128834,316186835.8171776
2020-12-09,26799991795.55794,13501656447.613894,48478209602.07313,5817992263.594411,,1877453895.6330187,718397782.5602969,,415906415.5670685,317934943.4579986
2020-12-10,29806757748.847992,14024278560.088686,36868153695.04304,9778004331.334286,,1215927530.411061,969492620.0851438,,916754161.9258169,288298009.6132036
2020-12-11,24092658533.60422,11590043392.322668,39300262409.13549,6957440057.227358,,869582048.3513341,638228958.8694761,,717585550.8127123,358609611.40050596
2020-12-12,26080197328.252396,11334198380.977062,33920748216.927147,7973256774.815366,,1053117255.3298056,639787380.1555443,,587799500.854856,486044105.3419308
2020-12-13,21918803313.730873,9511330147.764025,35716330657.27176,8191207377.440986,,2768383593.2905045,498536611.5718096,,486165275.1744203,408047263.5884033
2020-12-14,23550581096.074562,9082894202.250328,31906308924.990543,6125622311.173101,,2585888026.539725,624725108.4915521,,675793373.105618,494246687.84425974
2020-12-15,21638023119.81534,7794572085.232029,34912750509.05307,4925747725.5478945,,2077140993.6944046,569643692.7139974,,512308142.2459682,415613262.41335154
2020-12-16,24173322660.107285,10160486192.82214,50622191918.89851,5591960738.97862,,2428602079.499369,574321991.1026425,,462571053.512906,442791947.07695854
2020-12-17,39062639738.04841,14781462845.092134,80217750873.3627,10642868836.239534,,2621467134.6386933,863422173.3245958,,832119285.9557287,640816950.2248981
2020-12-18,60693764158.56218,19729196033.853626,55476232083.698814,14476826984.942175,,1241430199.8086274,955148307.3482299,,1501200453.802461,452362006.38723105
2020-12-19,37000188847.409645,16512361338.574877,50813884203.48452,10572616271.292404,,1264483571.7590873,935714849.6061821,,796474026.5261391,373848025.2564008
2020-12-20,35252972899.69343,14703775003.28234,50642166155.9795,7861567140.236632,,,569726214.4550376,,465024754.3224027,370589092.2457961
2020-12-21,32907758817.840942,12845420666.191206,56045236102.61864,6619472982.510808,,,622833650.9633231,,440430444.95337147,407650154.8352383
2020-12-22,38423396405.393135,14563648896.243877,56285751885.75779,7090693761.650875,,,838303952.7025075,,502357296.6470589,402565305.8221492
2020-12-23,38733771616.273865,11548425748.838194,65223503054.45911,11195910016.75438,,,992545291.2040076,,653386141.8236616,749338567.7748199
2020-12-24,42917744239.8244,16795838161.84157,58339107535.24187,14873825893.383224,,,1136208021.3378723,,1197129430.4496121,464252471.2848285
2020-12-25,36826373658.97133,15132872519.529186,55538895732.6606,15221335122.706177,,,1237242191.7587464,,1631324608.0804543,393376525.8153011
2020-12-26,36622874229.82892,13125875205.90394,56722879090.859406,13152417764.349289,,,979948988.0898074,,845396524.1482338,474596216.8169371
2020-12-27,41995154622.74047,14640527408.48169,72620203805.89838,7431667092.912673,,,1024574835.8838996,,516890732.80408907,521961741.6402239
2020-12-28,56654980595.93094,24721301579.88044,59541015354.864624,7010555503.559292,,,1278813155.9527574,,737765973.1526512,513200927.40994805
2020-12-29,42186521237.4668,22707049400.143177,57716128688.252785,5788819181.423517,,,1485346338.5519643,,550136242.8040391,460151866.83720934
2020-12-30,38081840205.60215,17170428247.761232,56031648977.853745,10590299229.511705,,,2524633061.7922616,,748238122.5165625,454151326.21961707
2020-12-31,43341140482.282166,13293869466.928808,50122642446.09134,6788558769.855404,,,1624809767.3045118,,558571735.7301415,368285519.8574254
2021-01-01,43503516563.294876,18166112097.655663,46908184579.778656,4364513012.765856,,,1053156167.9431827,,487386340.90067613,752801407.557126
2021-01-02,34089717988.090446,13843183079.15519,65600559358.04798,4606019123.280501,,,1058190761.3908306,,495202657.6579205,889961730.4002987
2021-01-03,57273436641.22308,20443662605.68775,88050410443.81592,3622428802.954543,,,1247682980.6516886,,459698581.07161945,582928058.2938806
2021-01-04,178894068361.35312,140906534190.58786,107933689971.92683,3986801676.0503383,,,2068192817.4392385,,702400653.8309244,507596514.0889316
2021-01-05,74657165356.22716,62285144708.39812,94209342878.68344,5235562377.385517,,,2846810326.926629,,1735007376.5941522,598139608.2975076
2021-01-06,67420500715.520256,47148245967.40434,102226578773.9809,3965486346.3855453,,,3367998095.423193,,2621535350.5071435,512097408.77822626
2021-01-07,71027195897.95125,47886847354.00142,112491987599.54878,5964831226.894267,,,5744644250.202653,,10468792259.681915,677218358.9328485
2021-01-08,78642959829.4919,43042878463.81648,116098707019.9269,13896459827.555267,,,3771312674.734168,,5052844176.568417,595466604.3969337
2021-01-09,82846468856.35208,48132624602.86217,88843690833.95743,7073230046.413266,,,3852929126.9059505,,3651926958.988564,554174062.666398
2021-01-10,55921808671.54423,34851118090.66404,113187178994.25511,5434746112.270671,,,2824226312.9284153,,2260622213.546394,1379805933.349682
2021-01-11,73381123612.69325,44541377224.12463,151288274893.9023,7389910221.259051,,,2905060003.694079,,1920775765.006056,1496253683.2903044
2021-01-12,111691569520.10521,67107873698.86543,98641615847.47221,7740853849.032595,,,3667755701.884773,,2560068101.522617,866355717.8626333
2021-01-13,68954134557.3671,37495863245.02223,88304528335.44354,5119148557.747889,,,3199211911.135686,,2961889337.09321,706587416.5001849
2021-01-14,65278944793.97605,32166268470.073753,83470865703.92484,3423237246.197349,,,2101875653.5599017,,1955018523.7142541,758243118.1083527
2021-01-15,57519444621.68669,34339866026.50668,96992240843.62924,3830269072.4567375,,,2179071320.3087335,,1773211913.190638,581010041.7717444
2021-01-16,63450740093.03335,39499008134.408424,94463862958.58073,3539150045.4070897,,,2565853415.468592,,1564358879.991196,472400930.0281573
2021-01-17,55054325262.44017,38277998837.56892,89790741770.63055,3219537933.3068643,,,4537543259.394854,,1576543275.0254478,482799849.7609139
2021-01-18,50749258739.19448,35508914212.36928,75752435427.7289,2702518877.421779,,,5632481727.628044,,1902930736.683346,481423082.7344527
2021-01-19,46769030146.76761,30802895108.229195,95230363079.66899,2636794498.898764,,,3594501559.179449,,1021588552.315657,560060066.2081883
2021-01-20,51736994549.005974,52274850962.437416,98400901337.33005,4329912741.449357,,,2957432002.378526,,1487841104.7681139,558547358.1087046
2021-01-21,58406615612.06859,52021227614.32531,98500138249.87909,3435836186.364772,,,3314777145.018924,,1159113447.3252518,630817462.6000628
2021-01-22,69415314297.66626,49658518028.423325,109499932960.65395,3432332258.4765797,,,3158075594.9716253,,1051553044.3306972,631394159.0061824
2021-01-23,69549742252.37038,48657448380.08583,74584935867.30522,3735006905.770562,,,4093983206.349115,,1392965837.938596,540089886.6933218
2021-01-24,43575409684.64115,30774910632.149376,75389392521.67853,2366507204.2381835,,,2968549141.6525126,,876851626.5476049,504356912.6369968
2021-01-25,42810544126.17814,39913977039.25946,81887567858.67982,1991913877.8750145,,,2870391825.2037973,,810336294.1970454,469563367.6994108
2021-01-26,50410553261.414444,44124188232.248085,77742955151.28645,2148246353.085917,,,2239860916.453625,,702305257.4596215,426717593.3898894
2021-01-27,48489676580.41073,40367492548.543144,77086984667.78821,1978755667.4820125,,,1848031728.9798493,,641152106.8945385,428907925.83862484
