date,bitcoin_market_caps,ethereum_market_caps,tether_market_caps,ripple_market_caps,solana_market_caps,terra-luna_market_caps,cardano_market_caps,avalanche-2_market_caps,stellar_market_caps,monero_market_caps
2019-02-24,72266544791.73584,16550258314.845478,2057579428.9799352,13704367044.414268,10988660955.92941,86802260.9278547,1500859971.5418594,21047201644.221733,1798876425.881727,878281599.9589685
2019-02-25,66108588220.39571,14284713525.163023,2057172293.4819622,12343221624.719486,10271428908.065245,88041038.75086667,1317346490.2655253,20865448492.249767,1597341736.5532176,797609363.0572326
2019-02-26,67154603799.94677,14472468022.306929,2052560615.113406,13457280075.05403,10611364493.458803,87431774.0274709,1353845259.6451354,21904094598.699135,1645615634.6765823,808799523.8210473
2019-02-27,66890485485.37128,14307393197.668602,2056445494.273257,13087395255.387577,11508207254.494314,88486034.07826425,1333499545.2259796,23820649821.92819,1621465138.5056174,805277543.4408886
2019-02-28,67155912259.18905,14178777736.552544,2062398601.7020733,12872053115.844961,10637505878.18168,87604265.30598599,1340877352.4406545,21569232517.411934,1613107716.0227013,818393353.4620179
2019-03-01,67016664287.2375,14233212113.400938,2057342972.8255465,12954764942.679686,11375166576.681133,86449550.91540094,1331427782.1193776,24228145819.15916,1618618249.2659256,797792073.9722741
2019-03-02,67085713233.78275,14187938674.158926,2050563202.3995588,13049579376.232838,11544497584.210085,87140771.31107162,1334243806.6678357,27785014698.474133,1631732608.7146266,806658330.1552289
2019-03-03,67101767698.901596,13922485507.386408,2055397325.7917216,12971908194.179266,11231058225.872488,90264882.21840489,1318787997.3318744,28758882874.843,1605068051.04836,807670642.1735636
2019-03-04,66885712070.35212,13708633834.78851,2057521963.0599053,12871747420.762299,9831892846.255322,90613592.15592773,1307062385.203952,30066351593.5684,1671137693.788134,813153610.0565894
2019-03-05,65238057881.55198,13206850625.680403,2057283405.8828664,12534997851.87214,10095207879.649364,88372606.19759099,1250170403.3857007,27672395803.84879,1581345239.9096286,786159725.9081492
2019-03-06,67733767403.2078,14358338788.931305,2059273722.1241288,13019127269.240784,10521989454.932697,87686655.4107871,1330762949.8479147,26006335927.429176,1644440617.8646483,817411197.0861264
2019-03-07,67888909504.19791,14452766138.766956,2056017071.0924022,13028850393.694176,10808680336.53195,88129072.98132841,1321151583.6117408,26605279700.589073,1629189685.511588,819247012.6009035
