date,tether,ripple,isPartial
2022-01-13 16:00:00,15,56,False
2022-01-13 17:00:00,38,39,False
2022-01-13 18:00:00,34,47,False
2022-01-13 19:00:00,26,47,False
2022-01-13 20:00:00,30,53,False
2022-01-13 21:00:00,21,54,False
2022-01-13 22:00:00,27,41,False
2022-01-13 23:00:00,18,58,False
2022-01-14 00:00:00,22,30,False
2022-01-14 01:00:00,11,37,False
2022-01-14 02:00:00,11,53,False
2022-01-14 03:00:00,34,77,False
2022-01-14 04:00:00,24,33,False
2022-01-14 05:00:00,20,33,False
2022-01-14 06:00:00,37,30,False
2022-01-14 07:00:00,10,56,False
2022-01-14 08:00:00,13,33,False
2022-01-14 09:00:00,18,40,False
2022-01-14 10:00:00,24,46,False
2022-01-14 11:00:00,22,40,False
2022-01-14 12:00:00,20,47,False
2022-01-14 13:00:00,21,85,False
2022-01-14 14:00:00,21,54,False
2022-01-14 15:00:00,11,64,False
2022-01-14 16:00:00,18,67,False
2022-01-14 17:00:00,24,59,False
2022-01-14 18:00:00,3,44,False
2022-01-14 19:00:00,21,70,False
2022-01-14 20:00:00,22,40,False
2022-01-14 21:00:00,21,71,False
2022-01-14 22:00:00,30,62,False
2022-01-14 23:00:00,30,53,False
2022-01-15 00:00:00,31,59,False
2022-01-15 00:00:00,36,70,False
2022-01-15 01:00:00,36,56,False
2022-01-15 02:00:00,27,79,False
2022-01-15 03:00:00,23,58,False
2022-01-15 04:00:00,24,74,False
2022-01-15 05:00:00,10,41,False
2022-01-15 06:00:00,44,55,False
2022-01-15 07:00:00,23,51,False
2022-01-15 08:00:00,29,34,False
2022-01-15 09:00:00,8,49,False
2022-01-15 10:00:00,4,39,False
2022-01-15 11:00:00,11,48,False
2022-01-15 12:00:00,17,38,False
2022-01-15 13:00:00,10,20,False
2022-01-15 14:00:00,30,55,False
2022-01-15 15:00:00,40,46,False
2022-01-15 16:00:00,23,43,False
2022-01-15 17:00:00,6,21,False
2022-01-15 18:00:00,15,56,False
2022-01-15 19:00:00,39,50,False
2022-01-15 20:00:00,20,52,False
2022-01-15 21:00:00,29,55,False
2022-01-15 22:00:00,36,69,False
2022-01-15 23:00:00,17,84,False
2022-01-16 00:00:00,13,78,False
2022-01-16 01:00:00,14,61,False
2022-01-16 02:00:00,18,47,False
2022-01-16 03:00:00,9,92,False
2022-01-16 04:00:00,34,55,False
2022-01-16 05:00:00,31,100,False
2022-01-16 06:00:00,10,31,False
2022-01-16 07:00:00,9,43,False
2022-01-16 08:00:00,9,62,False
2022-01-16 09:00:00,20,83,False
2022-01-16 10:00:00,15,48,False
2022-01-16 11:00:00,26,37,False
2022-01-16 12:00:00,10,62,False
